address	value
100869e4	MOTOR_TABLE%02d
100869f4	IniReadScannerSetting()
10086a0c	MOTOR_TABLE section is none.
10086a2c	IniReadScannerSetting()
10086a44	MOTOR_TABLE section is none.
10086a64	IniReadScannerSetting()
10086a7c	MOTOR_TABLE_NUMBER section is none.
10086aa0	MOTOR_TABLE_NUMBER
10086ab4	IniReadScannerSetting()
10086acc	MOTOR_TABLE_NUMBER section is none.
10086af0	IniReadScannerSetting()
10086b08	MOTOR_TABLE_NUMBER_FAU section is none.
10086b30	MOTOR_TABLE_NUMBER_FAU
10086b48	IniReadScannerSetting()
10086b60	MOTOR_TABLE_NUMBER_FAU section is none.
10086b88	IniReadScannerSetting()
10086ba0	MOTOR_TABLE_NUMBER_MOVE section is none.
10086bcc	MOTOR_TABLE_NUMBER_MOVE
10086be4	IniReadScannerSetting()
10086bfc	MOTOR_TABLE_NUMBER_MOVE section is none.
10086c28	IniReadScannerSetting()
10086c40	MOTOR_DECSEL section is none.
10086c60	MOTOR_DECSEL
10086c70	IniReadScannerSetting()
10086c88	MOTOR_DECSEL section is none.
10086ca8	IniReadScannerSetting()
10086cc0	SHADING_SCAN_UP_STEP section is none.
10086ce8	SHADING_SCAN_UP_STEP
10086d00	IniReadScannerSetting()
10086d18	SHADING_SCAN_UP_STEP section is none.
10086d40	IniReadScannerSetting()
10086d58	MOTOR_START_SPEED section is none.
10086d7c	MOTOR_START_SPEED
10086d90	IniReadScannerSetting()
10086da8	MOTOR_START_SPEED section is none.
10086dcc	IniReadScannerSetting()
10086de4	MOTOR_FIRST_GOHOME_LEN section is none.
10086e0c	MOTOR_FIRST_GOHOME_LEN
10086e24	IniReadScannerSetting()
10086e3c	MOTOR_FIRST_GOHOME_LEN section is none.
10086e64	IniReadScannerSetting()
10086e7c	LINEPERIOD_BOOK section is none.
10086ea0	LINEPERIOD_BOOK
10086eb0	IniReadScannerSetting()
10086ec8	LINEPERIOD_BOOK section is none.
10086eec	IniReadScannerSetting()
10086f04	LINEPERIOD_FAU section is none.
10086f24	LINEPERIOD_FAU
10086f34	IniReadScannerSetting()
10086f4c	LINEPERIOD_FAU section is none.
10086f6c	IniReadScannerSetting()
10086f84	MOTORSTEPMODE_BOOK section is none.
10086fa8	VERTICALRES_BOUND_BOOK
10086fc0	IniReadScannerSetting()
10086fd8	MOTORSTEPMODE_BOOK section is none.
10086ffc	IniReadScannerSetting()
10087014	MOTORSTEPMODE_FAU section is none.
10087038	VERTICALRES_BOUND_FAU
10087050	IniReadScannerSetting()
10087068	MOTORSTEPMODE_FAU section is none.
1008708c	IniReadScannerSetting()
100870a4	MOTORSTEPMODE_BOOK section is none.
100870c8	MOTORSTEPMODE_BOOK
100870dc	IniReadScannerSetting()
100870f4	MOTORSTEPMODE_BOOK section is none.
10087118	IniReadScannerSetting()
10087130	MOTORSTEPMODE_FAU section is none.
10087154	MOTORSTEPMODE_FAU
10087168	IniReadScannerSetting()
10087180	MOTORSTEPMODE_FAU section is none.
100871a4	IniReadScannerSetting()
100871bc	SLOPETABLESTEP_BOOK section is none.
100871e4	SLOPETABLESTEP_BOOK
100871f8	IniReadScannerSetting()
10087210	SLOPETABLESTEP_BOOK section is none.
10087238	IniReadScannerSetting()
10087250	SLOPETABLESTEP_FAU section is none.
10087274	SLOPETABLESTEP_FAU
10087288	IniReadScannerSetting()
100872a0	SLOPETABLESTEP_FAU section is none.
100872c4	IniReadScannerSetting()
100872dc	MOTORPHASEINDEX_BOOK section is none.
10087304	MOTORPHASEINDEX_BOOK
1008731c	IniReadScannerSetting()
10087334	MOTORPHASEINDEX_BOOK section is none.
1008735c	IniReadScannerSetting()
10087374	MOTORPHASEINDEX_FAU section is none.
1008739c	MOTORPHASEINDEX_FAU
100873b0	IniReadScannerSetting()
100873c8	MOTORPHASEINDEX_FAU section is none.
100873f0	IniReadScannerSetting()
10087408	MOTORTESTMODE section is none.
10087428	SPECIALMODE
10087434	IniReadScannerSetting()
1008744c	MOTORTESTMODE section is none.
1008746c	IniReadScannerSetting()
10087484	SPECIAL_R_EXPOSURE_RATE section is none.
100874b0	SPECIAL_R_EXPOSURE_RATE
100874c8	IniReadScannerSetting()
100874e0	SPECIAL_R_EXPOSURE_RATE section is none.
1008750c	IniReadScannerSetting()
10087524	SPECIAL_G_EXPOSURE_RATE section is none.
10087550	SPECIAL_G_EXPOSURE_RATE
10087568	IniReadScannerSetting()
10087580	SPECIAL_G_EXPOSURE_RATE section is none.
100875ac	IniReadScannerSetting()
100875c4	SPECIAL_B_EXPOSURE_RATE section is none.
100875f0	SPECIAL_B_EXPOSURE_RATE
10087608	IniReadScannerSetting()
10087620	SPECIAL_B_EXPOSURE_RATE section is none.
1008764c	IniReadScannerSetting()
10087664	SPECIAL_IR_EXPOSURE_RATE section is none.
10087690	SPECIAL_IR_EXPOSURE_RATE
100876ac	IniReadScannerSetting()
100876c4	SPECIAL_IR_EXPOSURE_RATE section is none.
100876f0	IniReadScannerSetting()
10087708	SPECIAL_DARK_SHADING_R_EXPOSURE_TIME section is none.
10087740	SPECIAL_DARK_SHADING_R_EXPOSURE_TIME
10087768	IniReadScannerSetting()
10087780	SPECIAL_DARK_SHADING_R_EXPOSURE_TIME section is none.
100877b8	IniReadScannerSetting()
100877d0	SPECIAL_DARK_SHADING_G_EXPOSURE_TIME section is none.
10087808	SPECIAL_DARK_SHADING_G_EXPOSURE_TIME
10087830	IniReadScannerSetting()
10087848	SPECIAL_DARK_SHADING_G_EXPOSURE_TIME section is none.
10087880	IniReadScannerSetting()
10087898	SPECIAL_DARK_SHADING_B_EXPOSURE_TIME section is none.
100878d0	SPECIAL_DARK_SHADING_B_EXPOSURE_TIME
100878f8	IniReadScannerSetting()
10087910	SPECIAL_DARK_SHADING_B_EXPOSURE_TIME section is none.
10087948	IniReadScannerSetting()
10087960	SPECIAL_DARK_SHADING_IR_EXPOSURE_TIME section is none.
10087998	SPECIAL_DARK_SHADING_IR_EXPOSURE_TIME
100879c0	IniReadScannerSetting()
100879d8	SPECIAL_DARK_SHADING_IR_EXPOSURE_TIME section is none.
10087a10	IniReadScannerSetting()
